File,G652D_40_1500_2xtof_przes500v2.csv,
1603.550000,1.9470E-004,1603.550000,1.3710E-006,1603.550000,3.7940E-006,1603.550000,5.1318E001
1603.632500,1.9040E-004,1603.632500,1.2890E-006,1603.632500,3.6720E-006,1603.632500,5.1852E001
1603.715000,1.8930E-004,1603.715000,1.3280E-006,1603.715000,3.5730E-006,1603.715000,5.2981E001
1603.797500,1.9400E-004,1603.797500,1.3340E-006,1603.797500,3.6390E-006,1603.797500,5.3311E001
1603.880000,1.8660E-004,1603.880000,1.2600E-006,1603.880000,3.4700E-006,1603.880000,5.3775E001
1603.962500,1.9430E-004,1603.962500,1.2780E-006,1603.962500,3.5910E-006,1603.962500,5.4107E001
1604.045000,1.8720E-004,1604.045000,1.3170E-006,1604.045000,3.5150E-006,1604.045000,5.3257E001
1604.127500,1.9010E-004,1604.127500,1.2550E-006,1604.127500,3.4530E-006,1604.127500,5.5054E001
1604.210000,1.9150E-004,1604.210000,1.3690E-006,1604.210000,3.5270E-006,1604.210000,5.4295E001
1604.292500,1.8550E-004,1604.292500,1.2150E-006,1604.292500,3.4450E-006,1604.292500,5.3846E001
1604.375000,1.9370E-004,1604.375000,1.3590E-006,1604.375000,3.6370E-006,1604.375000,5.3258E001
1604.457500,1.8720E-004,1604.457500,1.2170E-006,1604.457500,3.4150E-006,1604.457500,5.4817E001
1604.540000,1.8920E-004,1604.540000,1.3130E-006,1604.540000,3.3200E-006,1604.540000,5.6988E001
1604.622500,1.8940E-004,1604.622500,1.2250E-006,1604.622500,3.3060E-006,1604.622500,5.7290E001
1604.705000,1.8770E-004,1604.705000,1.2500E-006,1604.705000,3.2750E-006,1604.705000,5.7313E001
1604.787500,1.9160E-004,1604.787500,1.2730E-006,1604.787500,3.4510E-006,1604.787500,5.5520E001
1604.870000,1.8510E-004,1604.870000,1.1950E-006,1604.870000,3.3360E-006,1604.870000,5.5486E001
1604.952500,1.9060E-004,1604.952500,1.2200E-006,1604.952500,3.3360E-006,1604.952500,5.7134E001
1605.035000,1.8670E-004,1605.035000,1.2330E-006,1605.035000,3.1970E-006,1605.035000,5.8398E001
1605.117500,1.8650E-004,1605.117500,1.1780E-006,1605.117500,3.2290E-006,1605.117500,5.7758E001
1605.200000,1.8960E-004,1605.200000,1.1870E-006,1605.200000,3.3260E-006,1605.200000,5.7005E001
1605.282500,1.8380E-004,1605.282500,1.1980E-006,1605.282500,3.1240E-006,1605.282500,5.8835E001
1605.365000,1.9000E-004,1605.365000,1.1900E-006,1605.365000,3.2440E-006,1605.365000,5.8570E001
1605.447500,1.8430E-004,1605.447500,1.1700E-006,1605.447500,3.0670E-006,1605.447500,6.0091E001
1605.530000,1.8820E-004,1605.530000,1.1870E-006,1605.530000,3.1430E-006,1605.530000,5.9879E001
1605.612500,1.8750E-004,1605.612500,1.2210E-006,1605.612500,3.1720E-006,1605.612500,5.9111E001
1605.695000,1.8500E-004,1605.695000,1.2190E-006,1605.695000,3.0560E-006,1605.695000,6.0537E001
1605.777500,1.8890E-004,1605.777500,1.2050E-006,1605.777500,3.1590E-006,1605.777500,5.9797E001
1605.860000,1.8440E-004,1605.860000,1.0810E-006,1605.860000,3.0180E-006,1605.860000,6.1100E001
1605.942500,1.8800E-004,1605.942500,1.1430E-006,1605.942500,3.0610E-006,1605.942500,6.1418E001
1606.025000,1.8500E-004,1606.025000,1.1120E-006,1606.025000,3.0220E-006,1606.025000,6.1218E001
1606.107500,1.8490E-004,1606.107500,1.1170E-006,1606.107500,3.0590E-006,1606.107500,6.0445E001
1606.190000,1.8700E-004,1606.190000,1.0720E-006,1606.190000,3.0440E-006,1606.190000,6.1432E001
1606.272500,1.8270E-004,1606.272500,1.0240E-006,1606.272500,2.9310E-006,1606.272500,6.2334E001
1606.355000,1.8540E-004,1606.355000,1.0120E-006,1606.355000,3.0120E-006,1606.355000,6.1554E001
1606.437500,1.8370E-004,1606.437500,1.0540E-006,1606.437500,2.9720E-006,1606.437500,6.1810E001
1606.520000,1.8360E-004,1606.520000,1.0850E-006,1606.520000,2.8950E-006,1606.520000,6.3420E001
1606.602500,1.8430E-004,1606.602500,1.0270E-006,1606.602500,2.9260E-006,1606.602500,6.2987E001
1606.685000,1.8220E-004,1606.685000,1.0660E-006,1606.685000,2.8700E-006,1606.685000,6.3484E001
1606.767500,1.8560E-004,1606.767500,1.0210E-006,1606.767500,2.9340E-006,1606.767500,6.3258E001
1606.850000,1.8090E-004,1606.850000,1.0390E-006,1606.850000,2.8140E-006,1606.850000,6.4286E001
1606.932500,1.8480E-004,1606.932500,1.0370E-006,1606.932500,2.8390E-006,1606.932500,6.5093E001
1607.015000,1.8380E-004,1607.015000,1.0660E-006,1607.015000,2.8270E-006,1607.015000,6.5016E001
1607.097500,1.8030E-004,1607.097500,9.2800E-007,1607.097500,2.7810E-006,1607.097500,6.4833E001
1607.180000,1.8580E-004,1607.180000,1.0570E-006,1607.180000,2.8540E-006,1607.180000,6.5102E001
1607.262500,1.7990E-004,1607.262500,9.5110E-007,1607.262500,2.7290E-006,1607.262500,6.5922E001
1607.345000,1.8580E-004,1607.345000,9.5250E-007,1607.345000,2.7690E-006,1607.345000,6.7100E001
1607.427500,1.8000E-004,1607.427500,9.6260E-007,1607.427500,2.7860E-006,1607.427500,6.4609E001
1607.510000,1.8200E-004,1607.510000,1.0080E-006,1607.510000,2.6550E-006,1607.510000,6.8550E001
1607.592500,1.8550E-004,1607.592500,9.8470E-007,1607.592500,2.7400E-006,1607.592500,6.7701E001
1607.675000,1.7740E-004,1607.675000,9.6740E-007,1607.675000,2.6550E-006,1607.675000,6.6817E001
1607.757500,1.8450E-004,1607.757500,1.0430E-006,1607.757500,2.7170E-006,1607.757500,6.7906E001
1607.840000,1.7830E-004,1607.840000,9.5180E-007,1607.840000,2.6780E-006,1607.840000,6.6580E001
1607.922500,1.8220E-004,1607.922500,9.3020E-007,1607.922500,2.6340E-006,1607.922500,6.9172E001
1608.005000,1.8050E-004,1608.005000,9.1710E-007,1608.005000,2.6140E-006,1608.005000,6.9051E001
1608.087500,1.7850E-004,1608.087500,9.0290E-007,1608.087500,2.4640E-006,1608.087500,7.2443E001
1608.170000,1.8520E-004,1608.170000,9.3150E-007,1608.170000,2.6570E-006,1608.170000,6.9703E001
1608.252500,1.7510E-004,1608.252500,9.2920E-007,1608.252500,2.4870E-006,1608.252500,7.0406E001
1608.335000,1.8330E-004,1608.335000,9.2830E-007,1608.335000,2.6200E-006,1608.335000,6.9962E001
1608.417500,1.7990E-004,1608.417500,9.0190E-007,1608.417500,2.5370E-006,1608.417500,7.0911E001
1608.500000,1.7660E-004,1608.500000,8.4670E-007,1608.500000,2.4680E-006,1608.500000,7.1556E001
1608.582500,1.8240E-004,1608.582500,9.5630E-007,1608.582500,2.5280E-006,1608.582500,7.2152E001
1608.665000,1.7430E-004,1608.665000,7.9630E-007,1608.665000,2.4140E-006,1608.665000,7.2204E001
1608.747500,1.8140E-004,1608.747500,7.7520E-007,1608.747500,2.5350E-006,1608.747500,7.1558E001
1608.830000,1.7680E-004,1608.830000,8.8060E-007,1608.830000,2.4680E-006,1608.830000,7.1637E001
1608.912500,1.7650E-004,1608.912500,8.2620E-007,1608.912500,2.3890E-006,1608.912500,7.3880E001
1608.995000,1.8090E-004,1608.995000,8.0870E-007,1608.995000,2.4470E-006,1608.995000,7.3927E001
1609.077500,1.7290E-004,1609.077500,7.9450E-007,1609.077500,2.3030E-006,1609.077500,7.5076E001
1609.160000,1.8060E-004,1609.160000,8.5540E-007,1609.160000,2.4060E-006,1609.160000,7.5062E001
1609.242500,1.7500E-004,1609.242500,7.8770E-007,1609.242500,2.3490E-006,1609.242500,7.4500E001
1609.325000,1.7620E-004,1609.325000,7.8310E-007,1609.325000,2.2780E-006,1609.325000,7.7349E001
1609.407500,1.7830E-004,1609.407500,7.9620E-007,1609.407500,2.3620E-006,1609.407500,7.5487E001
1609.490000,1.7320E-004,1609.490000,7.1600E-007,1609.490000,2.3080E-006,1609.490000,7.5043E001
1609.572500,1.8160E-004,1609.572500,7.8530E-007,1609.572500,2.3640E-006,1609.572500,7.6819E001
1609.655000,1.7300E-004,1609.655000,7.5150E-007,1609.655000,2.2700E-006,1609.655000,7.6211E001
1609.737500,1.7630E-004,1609.737500,7.6110E-007,1609.737500,2.2450E-006,1609.737500,7.8530E001
1609.820000,1.7800E-004,1609.820000,7.2730E-007,1609.820000,2.3410E-006,1609.820000,7.6036E001
1609.902500,1.7100E-004,1609.902500,6.8090E-007,1609.902500,2.1990E-006,1609.902500,7.7763E001
1609.985000,1.7810E-004,1609.985000,7.6160E-007,1609.985000,2.2010E-006,1609.985000,8.0918E001
1610.067500,1.7150E-004,1610.067500,7.7060E-007,1610.067500,2.2030E-006,1610.067500,7.7848E001
1610.150000,1.7550E-004,1610.150000,7.5780E-007,1610.150000,2.1910E-006,1610.150000,8.0100E001
1610.232500,1.7410E-004,1610.232500,8.1130E-007,1610.232500,2.2140E-006,1610.232500,7.8636E001
1610.315000,1.7040E-004,1610.315000,6.4670E-007,1610.315000,2.0840E-006,1610.315000,8.1766E001
1610.397500,1.7660E-004,1610.397500,6.8140E-007,1610.397500,2.2220E-006,1610.397500,7.9478E001
1610.480000,1.7010E-004,1610.480000,6.3420E-007,1610.480000,2.1450E-006,1610.480000,7.9301E001
1610.562500,1.7350E-004,1610.562500,7.2620E-007,1610.562500,2.0830E-006,1610.562500,8.3293E001
1610.645000,1.7350E-004,1610.645000,7.2930E-007,1610.645000,2.0970E-006,1610.645000,8.2737E001
1610.727500,1.7050E-004,1610.727500,6.3540E-007,1610.727500,2.0900E-006,1610.727500,8.1579E001
1610.810000,1.7450E-004,1610.810000,6.9480E-007,1610.810000,2.1030E-006,1610.810000,8.2977E001
1610.892500,1.7020E-004,1610.892500,6.5880E-007,1610.892500,2.0110E-006,1610.892500,8.4635E001
1610.975000,1.7380E-004,1610.975000,6.3960E-007,1610.975000,2.0270E-006,1610.975000,8.5742E001
1611.057500,1.7050E-004,1611.057500,6.9400E-007,1611.057500,2.0000E-006,1611.057500,8.5250E001
1611.140000,1.7090E-004,1611.140000,6.4650E-007,1611.140000,1.9680E-006,1611.140000,8.6839E001
1611.222500,1.7210E-004,1611.222500,7.1540E-007,1611.222500,2.0030E-006,1611.222500,8.5921E001
1611.305000,1.6810E-004,1611.305000,5.5470E-007,1611.305000,1.9720E-006,1611.305000,8.5243E001
1611.387500,1.7260E-004,1611.387500,6.6990E-007,1611.387500,2.0190E-006,1611.387500,8.5488E001
1611.470000,1.6770E-004,1611.470000,5.6900E-007,1611.470000,1.9770E-006,1611.470000,8.4825E001
1611.552500,1.7030E-004,1611.552500,6.1550E-007,1611.552500,1.9420E-006,1611.552500,8.7693E001
1611.635000,1.7040E-004,1611.635000,6.0430E-007,1611.635000,1.9630E-006,1611.635000,8.6806E001
1611.717500,1.6650E-004,1611.717500,4.9710E-007,1611.717500,1.9040E-006,1611.717500,8.7447E001
1611.800000,1.7090E-004,1611.800000,5.8840E-007,1611.800000,1.9180E-006,1611.800000,8.9103E001
1611.882500,1.6770E-004,1611.882500,5.3910E-007,1611.882500,1.9040E-006,1611.882500,8.8078E001
1611.965000,1.6830E-004,1611.965000,5.4290E-007,1611.965000,1.9360E-006,1611.965000,8.6932E001
1612.047500,1.6790E-004,1612.047500,4.8690E-007,1612.047500,1.9080E-006,1612.047500,8.7998E001
1612.130000,1.6850E-004,1612.130000,5.1400E-007,1612.130000,1.8660E-006,1612.130000,9.0300E001
1612.212500,1.6880E-004,1612.212500,5.7340E-007,1612.212500,1.9010E-006,1612.212500,8.8795E001
1612.295000,1.6490E-004,1612.295000,4.6570E-007,1612.295000,1.8110E-006,1612.295000,9.1055E001
1612.377500,1.7000E-004,1612.377500,5.2300E-007,1612.377500,1.8940E-006,1612.377500,8.9757E001
1612.460000,1.6580E-004,1612.460000,5.2100E-007,1612.460000,1.8570E-006,1612.460000,8.9284E001
1612.542500,1.6560E-004,1612.542500,4.5330E-007,1612.542500,1.8140E-006,1612.542500,9.1290E001
1612.625000,1.6850E-004,1612.625000,4.7960E-007,1612.625000,1.8310E-006,1612.625000,9.2026E001
1612.707500,1.6300E-004,1612.707500,4.3510E-007,1612.707500,1.7870E-006,1612.707500,9.1214E001
1612.790000,1.6810E-004,1612.790000,5.3780E-007,1612.790000,1.7940E-006,1612.790000,9.3701E001
1612.872500,1.6350E-004,1612.872500,4.3930E-007,1612.872500,1.7530E-006,1612.872500,9.3269E001
1612.955000,1.6520E-004,1612.955000,4.5380E-007,1612.955000,1.7910E-006,1612.955000,9.2239E001
1613.037500,1.6520E-004,1613.037500,4.6490E-007,1613.037500,1.8240E-006,1613.037500,9.0570E001
1613.120000,1.6230E-004,1613.120000,4.6620E-007,1613.120000,1.6460E-006,1613.120000,9.8603E001
1613.202500,1.6750E-004,1613.202500,4.7210E-007,1613.202500,1.8190E-006,1613.202500,9.2084E001
1613.285000,1.6090E-004,1613.285000,4.4010E-007,1613.285000,1.6830E-006,1613.285000,9.5603E001
1613.367500,1.6650E-004,1613.367500,4.0440E-007,1613.367500,1.7140E-006,1613.367500,9.7141E001
1613.450000,1.6360E-004,1613.450000,4.3130E-007,1613.450000,1.7330E-006,1613.450000,9.4403E001
1613.532500,1.6140E-004,1613.532500,4.5990E-007,1613.532500,1.6000E-006,1613.532500,1.0088E002
1613.615000,1.6730E-004,1613.615000,4.0750E-007,1613.615000,1.7630E-006,1613.615000,9.4895E001
1613.697500,1.5900E-004,1613.697500,3.9230E-007,1613.697500,1.6950E-006,1613.697500,9.3805E001
1613.780000,1.6490E-004,1613.780000,3.2370E-007,1613.780000,1.6720E-006,1613.780000,9.8624E001
1613.862500,1.6170E-004,1613.862500,3.4330E-007,1613.862500,1.5930E-006,1613.862500,1.0151E002
1613.945000,1.5990E-004,1613.945000,4.1120E-007,1613.945000,1.6090E-006,1613.945000,9.9378E001
1614.027500,1.6410E-004,1614.027500,3.6830E-007,1614.027500,1.6900E-006,1614.027500,9.7101E001
1614.110000,1.5800E-004,1614.110000,3.5200E-007,1614.110000,1.6410E-006,1614.110000,9.6283E001
1614.192500,1.6310E-004,1614.192500,3.3200E-007,1614.192500,1.6880E-006,1614.192500,9.6623E001
1614.275000,1.5900E-004,1614.275000,3.6510E-007,1614.275000,1.6360E-006,1614.275000,9.7188E001
1614.357500,1.5940E-004,1614.357500,3.3710E-007,1614.357500,1.5600E-006,1614.357500,1.0218E002
1614.440000,1.6300E-004,1614.440000,3.5430E-007,1614.440000,1.5910E-006,1614.440000,1.0245E002
1614.522500,1.5620E-004,1614.522500,3.1900E-007,1614.522500,1.5450E-006,1614.522500,1.0110E002
1614.605000,1.6290E-004,1614.605000,3.1840E-007,1614.605000,1.6510E-006,1614.605000,9.8667E001
1614.687500,1.5850E-004,1614.687500,2.5200E-007,1614.687500,1.5440E-006,1614.687500,1.0266E002
1614.770000,1.5820E-004,1614.770000,3.0200E-007,1614.770000,1.5310E-006,1614.770000,1.0333E002
1614.852500,1.6100E-004,1614.852500,3.1430E-007,1614.852500,1.5560E-006,1614.852500,1.0347E002
1614.935000,1.5600E-004,1614.935000,2.6070E-007,1614.935000,1.5590E-006,1614.935000,1.0006E002
1615.017500,1.6020E-004,1615.017500,3.1980E-007,1615.017500,1.5310E-006,1615.017500,1.0464E002
1615.100000,1.5590E-004,1615.100000,3.2170E-007,1615.100000,1.5540E-006,1615.100000,1.0032E002
1615.182500,1.5720E-004,1615.182500,3.0330E-007,1615.182500,1.4880E-006,1615.182500,1.0565E002
1615.265000,1.5800E-004,1615.265000,3.1860E-007,1615.265000,1.4790E-006,1615.265000,1.0683E002
1615.347500,1.5410E-004,1615.347500,2.5350E-007,1615.347500,1.4670E-006,1615.347500,1.0504E002
1615.430000,1.5850E-004,1615.430000,3.0380E-007,1615.430000,1.4700E-006,1615.430000,1.0782E002
1615.512500,1.5490E-004,1615.512500,2.5060E-007,1615.512500,1.5250E-006,1615.512500,1.0157E002
1615.595000,1.5500E-004,1615.595000,2.8120E-007,1615.595000,1.5000E-006,1615.595000,1.0333E002
1615.677500,1.5720E-004,1615.677500,2.7070E-007,1615.677500,1.4970E-006,1615.677500,1.0501E002
1615.760000,1.5320E-004,1615.760000,2.5160E-007,1615.760000,1.4410E-006,1615.760000,1.0632E002
1615.842500,1.5690E-004,1615.842500,2.2560E-007,1615.842500,1.5250E-006,1615.842500,1.0289E002
1615.925000,1.5340E-004,1615.925000,1.9900E-007,1615.925000,1.4730E-006,1615.925000,1.0414E002
1616.007500,1.5400E-004,1616.007500,2.2440E-007,1616.007500,1.4550E-006,1616.007500,1.0584E002
1616.090000,1.5560E-004,1616.090000,2.4280E-007,1616.090000,1.4160E-006,1616.090000,1.0989E002
1616.172500,1.5180E-004,1616.172500,1.9300E-007,1616.172500,1.3260E-006,1616.172500,1.1448E002
1616.255000,1.5530E-004,1616.255000,2.5740E-007,1616.255000,1.4020E-006,1616.255000,1.1077E002
1616.337500,1.5080E-004,1616.337500,2.0700E-007,1616.337500,1.3880E-006,1616.337500,1.0865E002
1616.420000,1.5450E-004,1616.420000,2.2710E-007,1616.420000,1.3760E-006,1616.420000,1.1228E002
1616.502500,1.5090E-004,1616.502500,2.4790E-007,1616.502500,1.4150E-006,1616.502500,1.0664E002
1616.585000,1.5150E-004,1616.585000,1.7530E-007,1616.585000,1.3670E-006,1616.585000,1.1083E002
1616.667500,1.5360E-004,1616.667500,1.9000E-007,1616.667500,1.4580E-006,1616.667500,1.0535E002
1616.750000,1.4850E-004,1616.750000,1.7940E-007,1616.750000,1.3410E-006,1616.750000,1.1074E002
1616.832500,1.5330E-004,1616.832500,1.8960E-007,1616.832500,1.3480E-006,1616.832500,1.1372E002
1616.915000,1.4960E-004,1616.915000,1.6920E-007,1616.915000,1.3000E-006,1616.915000,1.1508E002
1616.997500,1.5100E-004,1616.997500,1.6180E-007,1616.997500,1.3670E-006,1616.997500,1.1046E002
1617.080000,1.5070E-004,1617.080000,1.4140E-007,1617.080000,1.3200E-006,1617.080000,1.1417E002
1617.162500,1.4940E-004,1617.162500,1.5630E-007,1617.162500,1.3020E-006,1617.162500,1.1475E002
1617.245000,1.5200E-004,1617.245000,1.4880E-007,1617.245000,1.2780E-006,1617.245000,1.1894E002
1617.327500,1.4630E-004,1617.327500,1.4630E-007,1617.327500,1.2450E-006,1617.327500,1.1751E002
1617.410000,1.5160E-004,1617.410000,1.8370E-007,1617.410000,1.3020E-006,1617.410000,1.1644E002
1617.492500,1.4790E-004,1617.492500,1.4690E-007,1617.492500,1.2540E-006,1617.492500,1.1794E002
1617.575000,1.4710E-004,1617.575000,1.4660E-007,1617.575000,1.1730E-006,1617.575000,1.2540E002
1617.657500,1.5050E-004,1617.657500,1.3930E-007,1617.657500,1.2820E-006,1617.657500,1.1739E002
1617.740000,1.4440E-004,1617.740000,1.0870E-007,1617.740000,1.2170E-006,1617.740000,1.1865E002
1617.822500,1.4970E-004,1617.822500,1.1790E-007,1617.822500,1.1860E-006,1617.822500,1.2622E002
1617.905000,1.4570E-004,1617.905000,1.3720E-007,1617.905000,1.2620E-006,1617.905000,1.1545E002
1617.987500,1.4510E-004,1617.987500,9.0860E-008,1617.987500,1.1770E-006,1617.987500,1.2328E002
1618.070000,1.4860E-004,1618.070000,1.7340E-007,1618.070000,1.2220E-006,1618.070000,1.2160E002
1618.152500,1.4270E-004,1618.152500,1.1560E-007,1618.152500,1.1910E-006,1618.152500,1.1982E002
1618.235000,1.4720E-004,1618.235000,8.7840E-008,1618.235000,1.1560E-006,1618.235000,1.2734E002
1618.317500,1.4500E-004,1618.317500,1.0740E-007,1618.317500,1.1570E-006,1618.317500,1.2532E002
1618.400000,1.4400E-004,1618.400000,1.2520E-007,1618.400000,1.1280E-006,1618.400000,1.2766E002
1618.482500,1.4670E-004,1618.482500,1.0050E-007,1618.482500,1.1380E-006,1618.482500,1.2891E002
1618.565000,1.4120E-004,1618.565000,9.8550E-008,1618.565000,1.1630E-006,1618.565000,1.2141E002
1618.647500,1.4770E-004,1618.647500,1.1490E-007,1618.647500,1.2960E-006,1618.647500,1.1397E002
1618.730000,1.4230E-004,1618.730000,1.0770E-007,1618.730000,1.1150E-006,1618.730000,1.2762E002
1618.812500,1.4120E-004,1618.812500,6.2430E-008,1618.812500,1.1020E-006,1618.812500,1.2813E002
1618.895000,1.4700E-004,1618.895000,1.2010E-007,1618.895000,1.1900E-006,1618.895000,1.2353E002
1618.977500,1.3900E-004,1618.977500,5.4060E-008,1618.977500,1.1060E-006,1618.977500,1.2568E002
1619.060000,1.4520E-004,1619.060000,1.0420E-007,1619.060000,1.1680E-006,1619.060000,1.2432E002
1619.142500,1.4020E-004,1619.142500,2.1500E-008,1619.142500,1.0860E-006,1619.142500,1.2910E002
1619.225000,1.4050E-004,1619.225000,6.2400E-008,1619.225000,1.0920E-006,1619.225000,1.2866E002
1619.307500,1.4520E-004,1619.307500,5.5570E-008,1619.307500,1.1360E-006,1619.307500,1.2782E002
1619.390000,1.3670E-004,1619.390000,3.8050E-008,1619.390000,1.0310E-006,1619.390000,1.3259E002
1619.472500,1.4460E-004,1619.472500,6.8780E-008,1619.472500,1.1040E-006,1619.472500,1.3098E002
1619.555000,1.3960E-004,1619.555000,1.1470E-008,1619.555000,1.0730E-006,1619.555000,1.3010E002
1619.637500,1.3900E-004,1619.637500,3.9080E-008,1619.637500,1.0710E-006,1619.637500,1.2979E002
1619.720000,1.4250E-004,1619.720000,7.7150E-008,1619.720000,1.0860E-006,1619.720000,1.3122E002
1619.802500,1.3570E-004,1619.802500,5.9710E-008,1619.802500,9.8380E-007,1619.802500,1.3793E002
1619.885000,1.4250E-004,1619.885000,2.8120E-008,1619.885000,1.0660E-006,1619.885000,1.3368E002
1619.967500,1.3680E-004,1619.967500,5.2500E-008,1619.967500,1.0310E-006,1619.967500,1.3269E002
1620.050000,1.3800E-004,1620.050000,5.0710E-008,1620.050000,9.8600E-007,1620.050000,1.3996E002
1620.132500,1.4030E-004,1620.132500,2.6570E-008,1620.132500,9.9920E-007,1620.132500,1.4041E002
1620.215000,1.3430E-004,1620.215000,6.4440E-008,1620.215000,9.7040E-007,1620.215000,1.3840E002
1620.297500,1.3920E-004,1620.297500,8.1230E-009,1620.297500,9.7210E-007,1620.297500,1.4320E002
1620.380000,1.3490E-004,1620.380000,2.7630E-008,1620.380000,9.0710E-007,1620.380000,1.4872E002
1620.462500,1.3590E-004,1620.462500,3.8010E-008,1620.462500,9.7320E-007,1620.462500,1.3964E002
1620.545000,1.3780E-004,1620.545000,7.8450E-009,1620.545000,9.5920E-007,1620.545000,1.4366E002
1620.627500,1.3320E-004,1620.627500,4.4380E-008,1620.627500,9.9410E-007,1620.627500,1.3399E002
1620.710000,1.3740E-004,1620.710000,4.8860E-009,1620.710000,9.4790E-007,1620.710000,1.4495E002
1620.792500,1.3380E-004,1620.792500,1.0940E-008,1620.792500,9.6240E-007,1620.792500,1.3903E002
1620.875000,1.3450E-004,1620.875000,4.2760E-008,1620.875000,9.0480E-007,1620.875000,1.4865E002
1620.957500,1.3690E-004,1620.957500,-1.2290E-008,1620.957500,9.8890E-007,1620.957500,1.3844E002
1621.040000,1.3160E-004,1621.040000,-3.7460E-009,1621.040000,9.4660E-007,1621.040000,1.3902E002
1621.122500,1.3500E-004,1621.122500,4.7090E-008,1621.122500,9.3040E-007,1621.122500,1.4510E002
1621.205000,1.3320E-004,1621.205000,3.0420E-008,1621.205000,8.9390E-007,1621.205000,1.4901E002
1621.287500,1.3260E-004,1621.287500,1.6840E-008,1621.287500,1.0230E-006,1621.287500,1.2962E002
1621.370000,1.3400E-004,1621.370000,3.9320E-008,1621.370000,9.1030E-007,1621.370000,1.4720E002
1621.452500,1.3040E-004,1621.452500,-3.9080E-008,1621.452500,9.1610E-007,1621.452500,1.4234E002
1621.535000,1.3430E-004,1621.535000,3.2930E-008,1621.535000,9.5410E-007,1621.535000,1.4076E002
1621.617500,1.2990E-004,1621.617500,4.1790E-008,1621.617500,9.6840E-007,1621.617500,1.3414E002
