File,G652D_40_1500_2xtof_przes500v2.csv,
1477.655000,1.8300E-004,1477.655000,3.5730E-006,1477.655000,1.2320E-007,1477.655000,1.4854E003
1477.737500,1.8370E-004,1477.737500,3.5530E-006,1477.737500,1.0770E-007,1477.737500,1.7057E003
1477.820000,1.8300E-004,1477.820000,3.4860E-006,1477.820000,8.0040E-008,1477.820000,2.2864E003
1477.902500,1.8290E-004,1477.902500,3.4580E-006,1477.902500,1.0720E-007,1477.902500,1.7062E003
1477.985000,1.8350E-004,1477.985000,3.4650E-006,1477.985000,1.1290E-007,1477.985000,1.6253E003
1478.067500,1.8220E-004,1478.067500,3.4450E-006,1478.067500,8.0590E-008,1478.067500,2.2608E003
1478.150000,1.6800E-004,1478.150000,3.0980E-006,1478.150000,9.0140E-008,1478.150000,1.8638E003
1478.232500,1.8030E-004,1478.232500,3.3760E-006,1478.232500,1.2550E-007,1478.232500,1.4367E003
1478.315000,1.8260E-004,1478.315000,3.2970E-006,1478.315000,1.1980E-007,1478.315000,1.5242E003
1478.397500,1.8260E-004,1478.397500,3.2480E-006,1478.397500,1.4090E-007,1478.397500,1.2960E003
1478.480000,1.8170E-004,1478.480000,3.2260E-006,1478.480000,9.0930E-008,1478.480000,1.9982E003
1478.562500,1.8370E-004,1478.562500,3.1530E-006,1478.562500,1.3170E-007,1478.562500,1.3948E003
1478.645000,1.8390E-004,1478.645000,3.2830E-006,1478.645000,1.2980E-007,1478.645000,1.4168E003
1478.727500,1.8490E-004,1478.727500,3.2320E-006,1478.727500,1.4840E-007,1478.727500,1.2460E003
