
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D)
1467.491000,1.7700E-004,1467.491000,6.7260E-005,1467.491000,1.3040E-005,1467.491000,5.7290E-006
1467.524000,1.7780E-004,1467.524000,6.7550E-005,1467.524000,1.3060E-005,1467.524000,5.8660E-006
1467.557000,1.7810E-004,1467.557000,6.7770E-005,1467.557000,1.3040E-005,1467.557000,6.0180E-006
1467.590000,1.7860E-004,1467.590000,6.8030E-005,1467.590000,1.3190E-005,1467.590000,6.0820E-006
1467.623000,1.7880E-004,1467.623000,6.8200E-005,1467.623000,1.3190E-005,1467.623000,6.2310E-006
1467.656000,1.7910E-004,1467.656000,6.8350E-005,1467.656000,1.3130E-005,1467.656000,6.2850E-006
1467.689000,1.7890E-004,1467.689000,6.8170E-005,1467.689000,1.3170E-005,1467.689000,6.5200E-006
1467.722000,1.7820E-004,1467.722000,6.7810E-005,1467.722000,1.3000E-005,1467.722000,6.5440E-006
1467.755000,1.7580E-004,1467.755000,6.6740E-005,1467.755000,1.2900E-005,1467.755000,6.6550E-006
1467.788000,1.7780E-004,1467.788000,6.7940E-005,1467.788000,1.2960E-005,1467.788000,6.9160E-006
1467.821000,1.8030E-004,1467.821000,6.8940E-005,1467.821000,1.3150E-005,1467.821000,7.0780E-006
1467.854000,1.8130E-004,1467.854000,6.9180E-005,1467.854000,1.3290E-005,1467.854000,7.3560E-006
1467.887000,1.8190E-004,1467.887000,6.9310E-005,1467.887000,1.3340E-005,1467.887000,7.3330E-006
1467.920000,1.8180E-004,1467.920000,6.9420E-005,1467.920000,1.3310E-005,1467.920000,7.5470E-006
1467.953000,1.8180E-004,1467.953000,6.9350E-005,1467.953000,1.3420E-005,1467.953000,7.7200E-006
1467.986000,1.8230E-004,1467.986000,6.9410E-005,1467.986000,1.3190E-005,1467.986000,7.7560E-006
1468.019000,1.8280E-004,1468.019000,6.9840E-005,1468.019000,1.3330E-005,1468.019000,7.9080E-006
