
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D)
1465.032500,1.1340E-004,1465.032500,9.2240E-007,1465.032500,8.2050E-007,1465.032500,1.3821E002
1465.115000,1.1400E-004,1465.115000,9.7750E-007,1465.115000,8.1060E-007,1465.115000,1.4064E002
1465.197500,1.1460E-004,1465.197500,9.5460E-007,1465.197500,8.6800E-007,1465.197500,1.3203E002
1465.280000,1.1530E-004,1465.280000,9.7170E-007,1465.280000,8.8130E-007,1465.280000,1.3083E002
1465.362500,1.1590E-004,1465.362500,1.0000E-006,1465.362500,8.3600E-007,1465.362500,1.3864E002
1465.445000,1.1470E-004,1465.445000,9.2340E-007,1465.445000,8.1360E-007,1465.445000,1.4098E002
1465.527500,1.1240E-004,1465.527500,9.5830E-007,1465.527500,7.9280E-007,1465.527500,1.4178E002
1465.610000,1.1470E-004,1465.610000,9.4780E-007,1465.610000,8.4400E-007,1465.610000,1.3590E002
1465.692500,1.1730E-004,1465.692500,1.0150E-006,1465.692500,8.8270E-007,1465.692500,1.3289E002
1465.775000,1.1890E-004,1465.775000,1.0120E-006,1465.775000,8.3030E-007,1465.775000,1.4320E002
1465.857500,1.2010E-004,1465.857500,9.6000E-007,1465.857500,9.1860E-007,1465.857500,1.3074E002
1465.940000,1.2060E-004,1465.940000,1.0180E-006,1465.940000,9.0390E-007,1465.940000,1.3342E002
1466.022500,1.2120E-004,1466.022500,1.0420E-006,1466.022500,9.2890E-007,1466.022500,1.3048E002
1466.105000,1.2230E-004,1466.105000,1.0030E-006,1466.105000,8.7180E-007,1466.105000,1.4028E002
1466.187500,1.2240E-004,1466.187500,9.9120E-007,1466.187500,9.5230E-007,1466.187500,1.2853E002
1466.270000,1.2280E-004,1466.270000,9.9930E-007,1466.270000,9.5440E-007,1466.270000,1.2867E002
1466.352500,1.2090E-004,1466.352500,9.6920E-007,1466.352500,9.3230E-007,1466.352500,1.2968E002
1466.435000,1.2380E-004,1466.435000,9.2270E-007,1466.435000,8.9170E-007,1466.435000,1.3884E002
1466.517500,1.2480E-004,1466.517500,9.9590E-007,1466.517500,1.0320E-006,1466.517500,1.2093E002
1466.600000,1.2550E-004,1466.600000,9.8230E-007,1466.600000,9.8200E-007,1466.600000,1.2780E002
1466.682500,1.2500E-004,1466.682500,9.5960E-007,1466.682500,9.9470E-007,1466.682500,1.2567E002
1466.765000,1.2440E-004,1466.765000,9.4360E-007,1466.765000,1.0020E-006,1466.765000,1.2415E002
1466.847500,1.2720E-004,1466.847500,9.6960E-007,1466.847500,1.0640E-006,1466.847500,1.1955E002
1466.930000,1.2730E-004,1466.930000,9.9320E-007,1466.930000,1.0340E-006,1466.930000,1.2311E002
1467.012500,1.2750E-004,1467.012500,9.8830E-007,1467.012500,1.0760E-006,1467.012500,1.1849E002
1467.095000,1.2950E-004,1467.095000,9.6900E-007,1467.095000,1.0900E-006,1467.095000,1.1881E002
1467.177500,1.3010E-004,1467.177500,9.6320E-007,1467.177500,1.0840E-006,1467.177500,1.2002E002
1467.260000,1.3050E-004,1467.260000,9.9340E-007,1467.260000,1.0890E-006,1467.260000,1.1983E002
1467.342500,1.2440E-004,1467.342500,9.1980E-007,1467.342500,1.1080E-006,1467.342500,1.1227E002
1467.425000,1.3060E-004,1467.425000,8.8900E-007,1467.425000,1.0720E-006,1467.425000,1.2183E002
1467.507500,1.3220E-004,1467.507500,9.9570E-007,1467.507500,1.0880E-006,1467.507500,1.2151E002
1467.590000,1.3270E-004,1467.590000,9.8360E-007,1467.590000,1.1460E-006,1467.590000,1.1579E002
1467.672500,1.3340E-004,1467.672500,9.0140E-007,1467.672500,1.1060E-006,1467.672500,1.2061E002
